Table name,Pathogen classification,Pathogen,No physician's visit mean,No physician's visit CrI,Physician's visit only mean,Physician's visit only CrI,"Hospitalized, recovered","Hospitalized, recovered Crl","Hospitalized, died","Hospitalized, died Crl",Chronic outcomes,Chronic outcomes Crl,Total,Total Crl,Note,Source
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Parasites,Giardia intestinalis,6.8,2.4-13.5,18.5,4.7-42.8,6.2,3.7-9.5,27.1,17-39,,,58.6,27.8-104.8,"CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Parasites,Toxoplasma gondii (non-pregnancy associated),9.6,4.5-16.5,25.5,5.8-60,221.8,128.5-339.1,4339,"2,583.6-6,460.4",755.7,566.4-968.8,5351.5,"3,288.8-7,844.8","CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Parasites,Toxoplasma gondii (pregnancy associated) c,,,,,,,298.3,24-829.7,69.5,57.7-81.1,367.8,81.6-910.8,"CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Parasites,Trichinella spp. ,0,0-0,0.1,0-0.5,0.1,0-0.7,0,0-0,,,0.3,0-1.2,"CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Viruses,Astrovirus,0.6,0.2-1.2,1.1,0.1-3.5,3,0.9-6.3,0,0-0,,,4.8,1.2-11,"CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Viruses,Hepatitis A virus,0.6,0.2-1.1,0.4,0-1.1,1.9,0.8-3.6,94.8,40.6-167.1,,,97.7,41.7-172.9,"CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Viruses,Norovirus,261.5,146.4-407.6,393.5,"39.5-1,164.1",304.9,159-500.1,2008.4,"1,111.5-3,118.1",,,2968.3,"1,456.4-5,189.9","CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Viruses,Rotavirus ,0.6,0.2-1.1,2.3,0.2-6.9,7.2,2.5-14.2,0,0-0,,,10,2.9-22.2,"CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Viruses,Sapovirus,0.6,0.2-1.2,1.1,0.1-3.4,1.8,0.6-3.6,0,0-0,,,3.5,0.9-8.3,"CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Illnesses from major foodborne pathogens,Subtotal d,524.4,367.2-705,1127.2,"576.4-1,892.7",1266,"946.4-1,634.1",18350.8,"14,015.1-23,513.4",23391.4,"14,625.3-34,328.3",44743.3,"30,869.6-61,554.3","CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Other foodborne gastroenteritis,Other foodborne gastroenteritis,1588.8,"796.7-2,616.7",2703.4,"254.9-8,113.7",1478.1,"194.5-3,806.7",24202.4,"3,358.9-60,761.2",,,29972.8,"4,605-75,298.2","CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",All pathogens,TOTAL d,2113.2,"1,163.9-3,321.6",3830.7,"831.3-10,006.3",2744.1,"1,140.9-5,440.8",42553.2,"17,374-84,274.6",23391.4,"14,625.3-34,328.3",74716.1,"35,474.6-136,852.5","CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
