state_abbr,year,month,date,recall_count,class_I,class_II,class_III
CA,2016,11,2016-11-01,45,26,19,0
CA,2016,12,2016-12-01,47,43,4,0
CA,2017,1,2017-01-01,12,6,6,0
CA,2017,2,2017-02-01,18,4,13,1
CA,2017,3,2017-03-01,17,7,10,0
CA,2017,4,2017-04-01,12,6,6,0
CA,2017,5,2017-05-01,10,5,4,1
CA,2017,6,2017-06-01,53,45,8,0
CA,2017,7,2017-07-01,7,5,2,0
CA,2017,8,2017-08-01,5,1,3,1
CA,2017,9,2017-09-01,6,5,0,1
CA,2017,10,2017-10-01,59,54,5,0
CA,2017,11,2017-11-01,9,2,5,2
CA,2017,12,2017-12-01,7,4,3,0
CA,2018,1,2018-01-01,11,3,6,2
CA,2018,2,2018-02-01,12,2,10,0
CA,2018,3,2018-03-01,15,3,5,7
CA,2018,4,2018-04-01,7,2,3,2
CA,2018,5,2018-05-01,5,2,2,1
CA,2018,6,2018-06-01,4,1,0,3
CA,2018,7,2018-07-01,48,1,4,43
CA,2018,8,2018-08-01,6,1,5,0
CA,2018,9,2018-09-01,13,7,6,0
CA,2018,10,2018-10-01,17,2,14,1
CA,2018,11,2018-11-01,14,7,5,2
CA,2018,12,2018-12-01,12,10,2,0
CA,2019,1,2019-01-01,31,27,3,1
CA,2019,2,2019-02-01,4,1,2,1
CA,2019,3,2019-03-01,11,1,9,1
CA,2019,4,2019-04-01,12,1,11,0
CA,2019,5,2019-05-01,18,3,14,1
CA,2019,6,2019-06-01,16,1,15,0
CA,2019,7,2019-07-01,12,9,3,0
CA,2019,8,2019-08-01,12,1,11,0
CA,2019,9,2019-09-01,25,15,7,3
CA,2019,10,2019-10-01,13,7,4,2
CA,2019,11,2019-11-01,64,47,17,0
CA,2019,12,2019-12-01,2,1,0,1
CA,2020,1,2020-01-01,8,0,8,0
CA,2020,2,2020-02-01,34,0,11,23
CA,2020,3,2020-03-01,10,4,6,0
CA,2020,4,2020-04-01,3,0,1,2
CA,2020,5,2020-05-01,3,2,1,0
CA,2020,7,2020-07-01,1,0,1,0
CA,2020,8,2020-08-01,9,7,2,0
CA,2020,9,2020-09-01,3,2,1,0
CA,2020,10,2020-10-01,31,27,3,1
CA,2020,11,2020-11-01,7,2,4,1
CA,2020,12,2020-12-01,8,7,1,0
CA,2021,1,2021-01-01,9,2,6,1
CA,2021,2,2021-02-01,5,1,4,0
CA,2021,3,2021-03-01,2,1,1,0
CA,2021,4,2021-04-01,16,9,6,1
CA,2021,5,2021-05-01,13,9,3,1
CA,2021,6,2021-06-01,14,4,10,0
CA,2021,7,2021-07-01,10,8,2,0
CA,2021,8,2021-08-01,28,1,27,0
CA,2021,9,2021-09-01,4,0,4,0
CA,2021,10,2021-10-01,34,5,28,1
CA,2021,11,2021-11-01,7,2,5,0
